id,user_id,course_id,enrolled_at,is_paid
1,279,383,2025-09-12 17:36:36,False
2,269,634,2025-09-12 17:29:01,False
3,1832,434,2025-09-12 17:37:09,True
4,1339,49,2025-09-12 17:29:21,False
5,1193,143,2025-09-12 17:35:06,False
6,1108,733,2025-09-12 17:35:28,True
7,1652,531,2025-09-12 17:36:28,False
8,988,357,2025-09-12 17:36:26,True
9,1038,232,2025-09-12 17:32:50,True
10,2150,573,2025-09-12 17:29:04,True
11,889,222,2025-09-12 17:37:41,False
12,1619,594,2025-09-12 17:27:35,True
13,961,522,2025-09-12 17:37:55,False
14,1625,104,2025-09-12 17:32:26,False
15,957,478,2025-09-12 17:31:13,True
16,250,210,2025-09-12 17:32:21,False
17,488,409,2025-09-12 17:36:11,False
18,2026,482,2025-09-12 17:34:17,False
19,2012,507,2025-09-12 17:32:02,True
20,673,712,2025-09-12 17:27:41,False
21,1819,781,2025-09-12 17:28:51,True
22,863,573,2025-09-12 17:27:58,True
23,981,586,2025-09-12 17:32:09,False
24,361,545,2025-09-12 17:38:22,False
25,612,592,2025-09-12 17:29:22,False
26,1503,170,2025-09-12 17:38:54,False
27,1780,63,2025-09-12 17:31:26,True
28,1202,32,2025-09-12 17:33:30,True
29,925,738,2025-09-12 17:29:38,True
30,376,371,2025-09-12 17:31:49,True
31,235,89,2025-09-12 17:32:50,True
32,1253,595,2025-09-12 17:34:03,True
33,495,361,2025-09-12 17:28:18,True
34,1185,607,2025-09-12 17:36:05,False
35,833,658,2025-09-12 17:33:14,False
36,1835,37,2025-09-12 17:28:18,True
37,2111,147,2025-09-12 17:35:32,False
38,761,452,2025-09-12 17:32:17,False
39,82,38,2025-09-12 17:32:09,False
40,1583,371,2025-09-12 17:33:58,True
41,405,594,2025-09-12 17:27:25,False
42,754,466,2025-09-12 17:27:28,False
43,268,694,2025-09-12 17:31:53,True
44,1584,675,2025-09-12 17:32:37,True
45,1374,565,2025-09-12 17:30:11,False
46,2051,197,2025-09-12 17:28:37,False
47,948,324,2025-09-12 17:29:22,False
48,911,750,2025-09-12 17:35:59,True
49,1841,350,2025-09-12 17:37:19,False
50,61,721,2025-09-12 17:37:15,False
